province,year,emission_per_gdp,clean_ratio,green_rate
广东,2016,0.007623197884212103,0.67687930440246,0.424
广东,2017,0.0019306295416526387,0.810311269344321,0.435
广东,2018,0.006149309767659822,0.828372844514038,0.44
广东,2019,0.005709979306365396,0.824492681775974,0.433
广西,2005,,0.432049703436469,
广西,2006,,0.419193730076152,
广西,2007,,0.45253000178485,
广西,2008,,0.460122665094308,
广西,2009,,0.4337683710726919,
广西,2010,,0.5009587416932799,
广西,2011,,0.5179069799639611,
广西,2012,,0.517499346363428,
广西,2013,,0.516835943945557,
广西,2014,,0.538136171435459,
广西,2015,,0.55925553722843,
广西,2016,,0.553411075335667,
广西,2017,,0.576137729966826,
广西,2018,,0.59682352965428,
广西,2019,,0.612911899084019,
新疆,2005,,0.644768427887769,
新疆,2006,,0.644422131771316,
新疆,2007,,0.639079727759413,
新疆,2008,,0.6152240385961729,
新疆,2009,,0.557592490049212,
新疆,2010,,0.579765146013743,
新疆,2011,,0.581219647508995,
新疆,2012,,0.579612166833825,
新疆,2013,,0.667790657317691,
新疆,2014,,0.707303043841346,
新疆,2015,,0.718088193681832,
新疆,2016,,0.696570864029762,
新疆,2017,,0.684642533120037,
新疆,2018,,0.721334467577633,
新疆,2019,,0.7163712448543831,
江苏,2005,0.025674403236370526,0.537432036420897,
江苏,2006,0.0231292968108514,0.548836777313155,0.417
江苏,2007,0.021851945376612312,0.5479357280427131,0.428
江苏,2008,0.018942868223406975,0.54446393674124,0.426
江苏,2009,0.01837439963698613,0.558437763695798,0.42
江苏,2010,0.016969638317571072,0.592475252055433,0.421
江苏,2011,0.016231659018896186,0.579853173294981,0.421
江苏,2012,0.015100777395350993,0.608116491104732,0.422
江苏,2013,0.014771874997243537,0.629735343971222,0.424
江苏,2014,0.013588045815127237,0.6375440912758741,0.426
江苏,2015,0.013271642273122485,0.636768797772383,0.428
江苏,2016,0.011516055890182607,0.6512094300654869,0.429
江苏,2017,0.011023727857802416,0.6684393817877581,0.43
江苏,2018,0.007865287145736049,0.6986806368489871,0.431
江苏,2019,0.008129281337138874,0.6827143905801509,0.434
江西,2005,0.0175390890616226,0.4282077775555539,
江西,2006,0.016290388869655274,0.407975273730615,0.346
江西,2007,0.022950812262552352,0.3744782027926949,0.391
江西,2008,0.023142990184244247,0.370850326270986,0.418
江西,2009,0.022655827955953427,0.3561293442354539,0.444
江西,2010,0.02052859415264617,0.445966881554967,0.466
江西,2011,0.01824608034949133,0.435775143893472,0.4679999999999999
江西,2012,0.017234093627663878,0.4463586775013299,0.46
江西,2013,0.016947388373367255,0.48907330284785,0.451
江西,2014,0.015142292715578733,0.482277661391338,0.446
江西,2015,0.014801913284505188,0.480790510598013,0.441
江西,2016,0.013967463716025292,0.501764439290897,0.436
江西,2017,0.012446236159156862,0.5175568377134661,0.452
江西,2018,0.010015900072119078,0.5626132086086719,0.4589999999999999
江西,2019,0.005786135633974639,0.579156359536025,0.455
河北,2005,0.052667386485787004,0.2708990208405409,
河北,2006,0.051941696675954774,0.273500034701593,0.356
河北,2007,0.04911257861117238,0.288239289143675,0.365
河北,2008,0.04511065240725297,0.275853986102742,0.387
河北,2009,0.04294546439940505,0.2831127374636289,0.4
河北,2010,0.03519254402653421,0.3169521347820699,0.427
河北,2011,0.03648276300131823,0.329794389157678,0.421
河北,2012,0.03470849514146841,0.3248274521198939,0.41
河北,2013,0.033555820191110024,0.33357060709789,0.412
河北,2014,0.03074525891683853,0.34053564591058,0.419
河北,2015,0.028611687748222824,0.3628712058640659,0.412
河北,2016,0.02740227041956828,0.380812030269233,0.408
河北,2017,0.023538801461337792,0.411435153653479,0.418
河北,2018,0.01968717862751464,0.426692037817272,0.416
河北,2019,0.015846415611126048,0.430192064684234,0.423
河南,2005,0.03740036587643649,0.344742033710777,
河南,2006,0.04188491359949902,0.332326287700076,0.3279999999999999
河南,2007,0.03846609915503176,0.353458370517152,0.3429999999999999
河南,2008,0.03392954181700911,0.364875837520237,0.354
河南,2009,0.03518606810267235,0.359735519154207,0.363
河南,2010,0.023576463796629556,0.377754852929473,0.366
河南,2011,0.02406539584793775,0.4153352506705,0.366
河南,2012,0.020970815589410264,0.496491190800898,0.369
河南,2013,0.019402567376385096,0.559405089304245,0.376
河南,2014,0.01626328938042053,0.5377488058071089,0.3829999999999999
河南,2015,0.014489385417423041,0.55525947244843,0.377
河南,2016,0.01136478939981977,0.598236867343142,0.3929999999999999
河南,2017,0.006567992836071587,0.630682220271944,0.3939999999999999
河南,2018,0.00969821628998645,0.662036358708042,0.4
河南,2019,0.008333020658964794,0.681253922358651,0.41
浙江,2005,0.020720312471293408,0.660329127901619,
浙江,2006,0.020276947502242487,0.68300190820993,0.355
浙江,2007,0.018751968584258635,0.701814987148677,0.361
浙江,2008,0.016764910283171224,0.709096279032392,0.377
浙江,2009,0.015898033717737615,0.722827175809739,0.382
浙江,2010,0.014128922672597567,0.753424364421142,0.3829999999999999
浙江,2011,0.013734662113918135,0.765420322815016,0.384
浙江,2012,0.012636813505496997,0.774355518502739,0.3989999999999999
浙江,2013,0.011382185420652365,0.778142620062837,0.4029999999999999
浙江,2014,0.01060295731582343,0.776741462752554,0.408
浙江,2015,0.009840452443342116,0.784294252729361,0.406
浙江,2016,0.009019991269169912,0.8146106642015449,0.41
浙江,2017,0.008477875891558916,0.851890223402323,0.4039999999999999
浙江,2018,0.007248964464204393,0.872592702108616,0.412
浙江,2019,0.0064718776656446575,0.8737277842686411,0.415
海南,2005,0.0025952600273112915,0.726911810276629,
