province,year,emission_total,emission_per_gdp,per_capita_t,is_imputed_emission
河北,2015,765.193838307246,0.028611687748222824,10.417887519499605,0
河北,2016,791.369349036006,0.02740227041956828,10.730431851335675,0
河北,2017,731.2446367971892,0.023538801461337792,9.869680615429736,0
河北,2018,648.6334742407248,0.01968717862751464,8.734627986004913,0
河北,2019,564.5047865229487,0.015846415611126048,7.580297925647224,0
河南,2003,232.4042417657227,,,0
河南,2004,354.6504570846513,,,0
河南,2005,381.465031756714,0.03740036587643649,4.066791383333838,0
河南,2006,501.555086388561,0.04188491359949902,5.340237291189959,0
河南,2007,568.2673760371152,0.03846609915503176,6.07123264996918,0
河南,2008,595.1886295997921,0.03392954181700911,6.3123197539483735,0
河南,2009,671.2481398014907,0.03518606810267235,7.075452090244447,0
河南,2010,532.0783502550952,0.023576463796629556,5.657398726795271,0
河南,2011,630.806969045314,0.02406539584793775,6.667444974583173,0
河南,2012,605.6056979987843,0.020970815589410264,6.35339590850592,0
河南,2013,613.5363440356236,0.019402567376385096,6.409028977704207,0
河南,2014,562.8919614036109,0.01626328938042053,5.836101206880362,0
河南,2015,533.1833024674165,0.014489385417423041,5.496168461678348,0
河南,2016,456.4974511751405,0.01136478939981977,4.668617827522402,0
河南,2017,292.8438125855058,0.006567992836071587,2.9793856199563113,0
河南,2018,487.5632766546338,0.00969821628998645,4.942855602743652,0
河南,2019,447.8106970983068,0.008333020658964794,4.5228835178093805,0
浙江,2003,203.62747336318827,,,0
浙江,2004,211.62208595539468,,,0
浙江,2005,273.7692005582113,0.020720312471293408,5.48525747461854,0
浙江,2006,314.6252282237953,0.020276947502242487,6.203178789901327,0
浙江,2007,354.6878601806768,0.018751968584258635,6.880462855105273,0
浙江,2008,362.2545049077355,0.016764910283171224,6.950393417262769,0
浙江,2009,369.2715781787505,0.015898033717737615,6.999082224767825,0
浙江,2010,394.22802619535184,0.014128922672597567,7.237525724166548,0
浙江,2011,444.3588968378048,0.013734662113918135,7.977718076082671,0
浙江,2012,442.0167812020267,0.012636813505496997,7.775141270044445,0
浙江,2013,432.7882509050911,0.011382185420652365,7.482507795731174,0
浙江,2014,432.00795317164136,0.01060295731582343,7.334600223627188,0
浙江,2015,435.1644879494751,0.009840452443342116,7.270918762731413,0
浙江,2016,433.8236960837423,0.009019991269169912,7.144659026412093,0
浙江,2017,450.4736310731613,0.008477875891558916,7.301031297782193,0
浙江,2018,429.94840561155166,0.007248964464204393,6.85395194662126,0
浙江,2019,418.2903972859455,0.0064718776656446575,6.561417996642283,0
海南,2003,3.3483750479725343,,,0
海南,2004,2.795231616149526,,,0
海南,2005,2.3256125104736483,0.0025952600273112915,0.2808710761441604,0
海南,2006,2.820387998485339,0.002711129480424242,0.33736698546475347,0
海南,2007,2.882666619228031,0.0023009791021935113,0.34114397860686757,0
海南,2008,3.778305966029111,0.0025155166218569316,0.44242458618607855,0
海南,2009,4.341888635080058,0.0026279437326474143,0.5025334068379697,0
海南,2010,4.859158062136065,0.0023432309698298045,0.5591666354586956,0
海南,2011,4.517374427201905,0.0017889883280669697,0.5075701603597647,0
海南,2012,4.424741740794703,0.001545167530658857,0.4862353561312861,0
海南,2013,4.975349975259759,0.0015538742544301068,0.5407989103543216,0
海南,2014,5.3927496169603,0.0015228593744946064,0.5761484633504594,0
海南,2015,5.129297568577528,0.0013559884655345465,0.5427828114896855,0
海南,2016,4.094596370268807,0.0009864120381278744,0.42785750995494326,0
海南,2017,5.140423041764302,0.0011290436956147296,0.5288501071773973,0
海南,2018,5.3642581803494,0.001071951197064346,0.5462584705040122,0
海南,2019,5.9315390900235885,0.0010899357031336411,0.5961345819119185,0
湖北,2003,111.70351485190837,,,0
湖北,2004,124.4069874829415,,,0
湖北,2005,146.57420380570778,0.022381841529090486,2.5669737969475968,0
湖北,2006,189.61325682351907,0.024829213773425573,3.3306386232833143,0
湖北,2007,202.37856374016351,0.021077148424270817,3.5511241224804966,0
湖北,2008,229.20221622234448,0.019576881755952825,4.013346458104438,0
湖北,2009,261.7831487037241,0.01950316247997587,4.576628473841331,0
湖北,2010,301.05440924250337,0.018257782974359024,5.255838150183369,0
湖北,2011,283.9767250747345,0.014038585796865505,4.9301514769919175,0
湖北,2012,262.8999815232037,0.011469830353091213,4.547655795246561,0
湖北,2013,283.2855722890834,0.010958102263645462,4.885918804571981,0
湖北,2014,316.41154788196104,0.010984261831151292,5.440363615577047,0
湖北,2015,317.45858186363046,0.010353620876393615,5.426642425019324,0
湖北,2016,307.7571511357206,0.009113977633462864,5.229518286078515,0
湖北,2017,257.41441944076206,0.006841724726127388,4.360000329281201,0
湖北,2018,329.67023307811303,0.007770568009289532,5.571577371609144,0
湖北,2019,408.2525353413711,0.008961356879104663,6.888013081514612,0
湖南,2003,23.48382029957256,,,0
湖南,2004,23.591020221108494,,,0
湖南,2005,115.60811070053064,0.01791901525187635,1.8275072826514487,0
湖南,2006,155.11144149881812,0.02060131773612311,2.4457811652289205,0
湖南,2007,175.64553722064252,0.018666036538182395,2.7638951568944536,0
湖南,2008,181.4855847347476,0.01582732324618872,2.844601641610464,0
湖南,2009,217.5934930916714,0.01678198143527803,3.3967139102664907,0
湖南,2010,231.90655778923863,0.014663801717951971,3.529780179440466,0
湖南,2011,268.8806799506965,0.014021436763453854,4.085711593233499,0
湖南,2012,233.88195568885925,0.010871303201627765,3.5490433336700944,0
