province,year,emission_total_mt,emission_per_gdp_t_per_10k_cny,per_capita_t
广东,2018,626.4664669591352,0.6149309767659822,5.073424578548228
广东,2019,630.7705650135033,0.5709979306365397,5.050609056077374
广西,2003,73.02586467310086,,
广西,2004,33.31836033963035,,
广西,2005,74.40785478741806,1.9635269768417487,1.5967350812750656
广西,2006,86.11436465286339,1.922281455709259,1.824843497623721
广西,2007,104.16878130823275,1.8747531010768261,2.1847479301223314
广西,2008,69.76448334386758,1.0631750460059979,1.4485980760769848
广西,2009,134.38076338284904,1.8552166576862943,2.7673139082135303
广西,2010,158.03691923791288,1.8140142244939494,3.42813273834952
广西,2011,211.5671444666667,2.020177647279753,4.544944027210885
广西,2012,225.1571308209325,1.958467119156381,4.796700699210322
广西,2013,231.95665859115377,1.8292246312568312,4.902909714461082
广西,2014,191.8445582073083,1.3844895119855976,4.021898494912123
广西,2015,107.24497555481018,0.7135299301061209,2.2291618282022485
广西,2016,30.11289697912732,0.1834228551709629,0.6199896433833091
广西,2017,41.71791310550226,0.23084664478439917,0.8501714511005148
广西,2018,180.45810216538334,0.9044748175112063,3.6478290310366552
广西,2019,95.79198615809953,0.4488531085354803,1.9227616651565542
新疆,2003,28.182232884256404,,
新疆,2004,43.00608004107198,,
新疆,2005,56.736909500338584,2.2311014353259373,2.8227318159372428
新疆,2006,48.423724426206924,1.6225071008948544,2.362132898839362
新疆,2007,61.775263128085165,1.7468403780139452,2.9486999106484566
新疆,2008,92.4435949373007,2.2095077544229236,4.338038242013172
新疆,2009,89.95199736837753,2.0970275642470573,4.166373199091132
新疆,2010,198.98052446862079,3.667573348852081,9.106660158746946
新疆,2011,206.78083664528458,3.1294393826091857,9.293520748102678
新疆,2012,265.3486175459401,3.5382174484424307,11.777568466308926
新疆,2013,297.213864619434,3.4890808675271647,13.007171318137154
新疆,2014,196.09378024031608,2.086059660861642,8.434141085604992
新疆,2015,130.41419297402695,1.36620879531126,5.468100334340752
新疆,2016,37.458841034630055,0.37784162675264077,1.5427858745729017
新疆,2017,34.089330642222784,0.29744285427040684,1.3745697839605961
新疆,2018,110.59230690237868,0.8435657005086054,4.3885836072372495
新疆,2019,20.746533044052402,0.14792642403191755,0.8107281377120907
江苏,2003,289.2190137628494,,
江苏,2004,325.1507942366051,,
江苏,2005,471.02003433413006,2.567440323637052,6.207433241092911
江苏,2006,497.8604267832575,2.3129296810851403,6.502879137712349
江苏,2007,576.3188369736978,2.185194537661231,7.4623700242612685
江苏,2008,595.6717512927887,1.8942868223406975,7.674204474269373
江苏,2009,644.4747175074336,1.837439963698613,8.251916997534362
江苏,2010,715.6978899712235,1.6969638317571074,9.095156817527304
江苏,2011,806.543020819442,1.6231659018896183,10.052885713815803
江苏,2012,825.3843311860527,1.5100777395350993,10.164831664852866
江苏,2013,893.7752510832196,1.4771874997243537,10.910342420449458
江苏,2014,899.9131746579912,1.3588045815127237,10.867204137881792
江苏,2015,953.9125600229518,1.3271642273122486,11.472189537257387
江苏,2016,901.260353232759,1.1516055890182608,10.753613569177412
江苏,2017,953.6946657892746,1.1023727857802417,11.322505826775194
江苏,2018,735.0606350780519,0.7865287145736048,8.703062219725929
江苏,2019,811.6022479278,0.8129281337138875,9.583212279227773
江西,2003,66.62506229823151,,
江西,2004,85.42795526348957,,
江西,2005,70.0125357161851,1.7539089061622601,1.6240439739314567
江西,2006,77.41844406414972,1.6290388869655275,1.7842462333291018
江西,2007,134.20028454282235,2.2950812262552347,3.072350836603076
江西,2008,162.66513510799754,2.3142990184244248,3.696934888818126
江西,2009,175.19751758338785,2.2655827955953427,3.9530125808526138
江西,2010,195.0914416702576,2.052859415264617,4.372286904308777
江西,2011,213.7966218871297,1.824608034949133,4.7786459965831405
江西,2012,223.22976794040468,1.7234093627663878,4.988374702578875
江西,2013,245.28633088309363,1.6947388373367254,5.480034202035157
江西,2014,240.13556325927692,1.5142292715578736,5.360168822751717
江西,2015,252.0928653397363,1.480191328450519,5.620799673126784
江西,2016,262.04638026909373,1.3967463716025292,5.82843372484639
江西,2017,255.11797029593367,1.244623615915686,5.6554637618251755
江西,2018,230.5349703699576,1.0015900072119077,5.108242197428708
江西,2019,143.05641741438896,0.5786135633974638,3.167768321842094
河北,2003,452.77786887494585,,
河北,2004,427.9376962790357,,
河北,2005,468.0129297900005,5.2667386485787,6.831308273098824
河北,2006,528.6677829375353,5.194169667595477,7.664073397180854
河北,2007,604.949098300977,4.911257861117239,8.713079336035962
河北,2008,649.7648151435902,4.511065240725297,9.296964016935044
河北,2009,667.3854004060743,4.294546439940506,9.487992613108817
河北,2010,642.4082179147581,3.5192544026534214,8.929777841461748
河北,2011,792.1028054557211,3.6482763001318235,10.952748969243931
河北,2012,813.4734131791375,3.470849514146841,11.201782059751274
河北,2013,827.4563256746011,3.355582019111002,11.353681746358413
河北,2014,788.4344941892989,3.074525891683853,10.766550514670202
河北,2015,765.193838307246,2.8611687748222825,10.417887519499605
河北,2016,791.369349036006,2.7402270419568278,10.730431851335675
河北,2017,731.2446367971892,2.353880146133779,9.869680615429736
河北,2018,648.6334742407248,1.9687178627514639,8.734627986004911
河北,2019,564.5047865229487,1.5846415611126046,7.580297925647224
河南,2003,232.4042417657227,,
河南,2004,354.65045708465135,,
河南,2005,381.465031756714,3.740036587643649,4.066791383333838
河南,2006,501.555086388561,4.188491359949903,5.340237291189959
河南,2007,568.2673760371152,3.8466099155031763,6.07123264996918
河南,2008,595.1886295997921,3.392954181700911,6.312319753948373
河南,2009,671.2481398014907,3.5186068102672348,7.075452090244446
河南,2010,532.0783502550952,2.3576463796629556,5.657398726795271
河南,2011,630.806969045314,2.406539584793775,6.667444974583173
河南,2012,605.6056979987843,2.0970815589410265,6.35339590850592
河南,2013,613.5363440356236,1.9402567376385094,6.409028977704206
河南,2014,562.8919614036109,1.6263289380420527,5.836101206880362
河南,2015,533.1833024674165,1.4489385417423042,5.496168461678348
河南,2016,456.49745117514044,1.1364789399819768,4.668617827522402
河南,2017,292.8438125855058,0.6567992836071587,2.979385619956311
河南,2018,487.5632766546338,0.969821628998645,4.942855602743651
河南,2019,447.81069709830683,0.8333020658964795,4.522883517809381
浙江,2003,203.62747336318827,,
浙江,2004,211.62208595539468,,
浙江,2005,273.7692005582113,2.072031247129341,5.48525747461854
浙江,2006,314.6252282237953,2.027694750224249,6.203178789901328
浙江,2007,354.6878601806768,1.8751968584258634,6.880462855105273
浙江,2008,362.2545049077355,1.6764910283171226,6.950393417262769
浙江,2009,369.2715781787505,1.5898033717737616,6.999082224767826
浙江,2010,394.22802619535184,1.4128922672597568,7.237525724166548
浙江,2011,444.3588968378048,1.3734662113918135,7.977718076082671
浙江,2012,442.0167812020267,1.2636813505496995,7.775141270044445
浙江,2013,432.7882509050911,1.1382185420652364,7.482507795731173
浙江,2014,432.00795317164136,1.060295731582343,7.334600223627188
浙江,2015,435.1644879494751,0.9840452443342117,7.270918762731413
浙江,2016,433.8236960837423,0.9019991269169911,7.144659026412093
浙江,2017,450.47363107316124,0.8477875891558915,7.301031297782192
浙江,2018,429.94840561155166,0.7248964464204393,6.853951946621261
浙江,2019,418.29039728594546,0.6471877665644656,6.561417996642282
海南,2003,3.3483750479725343,,
海南,2004,2.795231616149526,,
海南,2005,2.3256125104736483,0.25952600273112914,0.28087107614416046
海南,2006,2.820387998485339,0.27111294804242425,0.3373669854647535
海南,2007,2.882666619228031,0.23009791021935114,0.3411439786068676
海南,2008,3.778305966029111,0.25155166218569314,0.4424245861860786
海南,2009,4.341888635080058,0.2627943732647414,0.5025334068379697
海南,2010,4.859158062136065,0.23432309698298046,0.5591666354586957
海南,2011,4.517374427201905,0.17889883280669697,0.5075701603597647
海南,2012,4.424741740794703,0.1545167530658857,0.48623535613128605
海南,2013,4.975349975259759,0.15538742544301068,0.5407989103543216
海南,2014,5.3927496169603,0.15228593744946065,0.5761484633504594
海南,2015,5.129297568577528,0.13559884655345464,0.5427828114896855
海南,2016,4.094596370268807,0.09864120381278745,0.4278575099549432
海南,2017,5.140423041764302,0.11290436956147296,0.5288501071773973
海南,2018,5.3642581803494,0.1071951197064346,0.5462584705040122
海南,2019,5.9315390900235885,0.10899357031336411,0.5961345819119185
湖北,2003,111.70351485190835,,
湖北,2004,124.4069874829415,,
湖北,2005,146.57420380570778,2.2381841529090485,2.5669737969475968
湖北,2006,189.61325682351907,2.4829213773425574,3.330638623283314
湖北,2007,202.37856374016351,2.1077148424270815,3.5511241224804966
湖北,2008,229.20221622234448,1.9576881755952824,4.013346458104438
湖北,2009,261.7831487037241,1.9503162479975868,4.576628473841331
湖北,2010,301.05440924250337,1.8257782974359025,5.255838150183369
湖北,2011,283.9767250747345,1.4038585796865504,4.9301514769919175
湖北,2012,262.8999815232037,1.1469830353091213,4.547655795246561
湖北,2013,283.2855722890834,1.0958102263645462,4.88591880457198
湖北,2014,316.41154788196104,1.0984261831151294,5.440363615577047
湖北,2015,317.45858186363046,1.0353620876393614,5.426642425019324
湖北,2016,307.7571511357206,0.9113977633462865,5.229518286078515
湖北,2017,257.41441944076206,0.6841724726127388,4.3600003292812
湖北,2018,329.67023307811303,0.7770568009289531,5.571577371609144
湖北,2019,408.2525353413711,0.896135687910466,6.888013081514612
湖南,2003,23.483820299572557,,
湖南,2004,23.591020221108494,,
湖南,2005,115.60811070053063,1.791901525187635,1.8275072826514485
湖南,2006,155.11144149881812,2.0601317736123113,2.44578116522892
湖南,2007,175.64553722064252,1.8666036538182396,2.7638951568944536
湖南,2008,181.4855847347476,1.5827323246188723,2.844601641610464
湖南,2009,217.5934930916714,1.678198143527803,3.3967139102664907
湖南,2010,231.90655778923863,1.4663801717951972,3.529780179440466
湖南,2011,268.8806799506965,1.4021436763453854,4.085711593233498
湖南,2012,233.88195568885925,1.0871303201627764,3.5490433336700944
湖南,2013,249.22645734571145,1.0420778186663968,3.776158444631992
湖南,2014,186.00837173331098,0.7070115349187581,2.813619297130706
湖南,2015,226.71619951861533,0.7868893523069285,3.4273046034560135
湖南,2016,177.60103777315015,0.5687783435489197,2.6807703814815116
湖南,2017,161.3930432759541,0.47290922996848345,2.4331832244226463
湖南,2018,121.591033429107,0.3319501967799193,1.8325702099337906
湖南,2019,88.52034999774803,0.22168494416012752,1.3331378011709039
甘肃,2003,28.539666314846375,,
甘肃,2004,23.805829896885427,,
甘肃,2005,66.61164096699328,3.5227479489657454,2.6173532796461014
甘肃,2006,63.97877507621202,2.869003366646279,2.5119267795921485
甘肃,2007,74.6235081810785,2.7563811982816273,2.9287091122872253
甘肃,2008,73.501492387547,2.3614937313268114,2.881281551844257
甘肃,2009,95.99007067972111,2.8966766455344652,3.756949928756208
甘肃,2010,94.75484925900874,2.3761779787599053,3.7013612991800287
甘肃,2011,102.09682290455585,2.091847950182471,4.000659204723975
甘肃,2012,107.90825429533518,1.9730532317078713,4.23169624687589
甘肃,2013,121.12766220097467,1.9830011983853881,4.774444706384496
甘肃,2014,130.52075954454662,1.9688170806490275,5.156885007686552
甘肃,2015,123.66842128940333,1.8204201326199447,4.9016417474991405
甘肃,2016,72.46580422275215,1.0054779900757884,2.875627151696514
甘肃,2018,51.93099811147241,0.6208351538186953,2.064850819541647
