province,year,scenario_name,clean_ratio,green_rate,predicted_emission_per_gdp
四川,2027,clean_plus5pp,0.8451419041365511,0.435,0.0028653895675356013
四川,2027,green_plus2pp,0.8151419041365511,0.455,0.003289734971634612
四川,2028,baseline,0.7951419041365511,0.435,0.004987846720572101
四川,2028,clean_plus5pp,0.8451419041365511,0.435,0.0028653895675356013
四川,2028,green_plus2pp,0.8151419041365511,0.455,0.003289734971634612
四川,2029,baseline,0.7951419041365511,0.435,0.004987846720572101
四川,2029,clean_plus5pp,0.8451419041365511,0.435,0.0028653895675356013
四川,2029,green_plus2pp,0.8151419041365511,0.455,0.003289734971634612
四川,2030,baseline,0.7951419041365511,0.435,0.004987846720572101
四川,2030,clean_plus5pp,0.8451419041365511,0.435,0.0028653895675356013
四川,2030,green_plus2pp,0.8151419041365511,0.455,0.003289734971634612
天津,2023,baseline,0.820658060765862,0.384,0.006069986401147852
天津,2023,clean_plus5pp,0.870658060765862,0.384,0.003947529248111353
天津,2023,green_plus2pp,0.840658060765862,0.404,0.004371874652210363
天津,2024,baseline,0.820658060765862,0.384,0.006069986401147852
天津,2024,clean_plus5pp,0.870658060765862,0.384,0.003947529248111353
天津,2024,green_plus2pp,0.840658060765862,0.404,0.004371874652210363
天津,2025,baseline,0.820658060765862,0.384,0.006069986401147852
天津,2025,clean_plus5pp,0.870658060765862,0.384,0.003947529248111353
天津,2025,green_plus2pp,0.840658060765862,0.404,0.004371874652210363
天津,2026,baseline,0.820658060765862,0.384,0.006069986401147852
天津,2026,clean_plus5pp,0.870658060765862,0.384,0.003947529248111353
天津,2026,green_plus2pp,0.840658060765862,0.404,0.004371874652210363
天津,2027,baseline,0.820658060765862,0.384,0.006069986401147852
天津,2027,clean_plus5pp,0.870658060765862,0.384,0.003947529248111353
天津,2027,green_plus2pp,0.840658060765862,0.404,0.004371874652210363
天津,2028,baseline,0.820658060765862,0.384,0.006069986401147852
天津,2028,clean_plus5pp,0.870658060765862,0.384,0.003947529248111353
天津,2028,green_plus2pp,0.840658060765862,0.404,0.004371874652210363
天津,2029,baseline,0.820658060765862,0.384,0.006069986401147852
天津,2029,clean_plus5pp,0.870658060765862,0.384,0.003947529248111353
天津,2029,green_plus2pp,0.840658060765862,0.404,0.004371874652210363
天津,2030,baseline,0.820658060765862,0.384,0.006069986401147852
天津,2030,clean_plus5pp,0.870658060765862,0.384,0.003947529248111353
天津,2030,green_plus2pp,0.840658060765862,0.404,0.004371874652210363
宁夏,2023,baseline,0.486396376930878,0.39204196642685846,0.01991767513762243
宁夏,2023,clean_plus5pp,0.536396376930878,0.39204196642685846,0.01779521798458593
宁夏,2023,green_plus2pp,0.506396376930878,0.4120419664268585,0.01821956338868494
宁夏,2024,baseline,0.486396376930878,0.39204196642685846,0.01991767513762243
宁夏,2024,clean_plus5pp,0.536396376930878,0.39204196642685846,0.01779521798458593
宁夏,2024,green_plus2pp,0.506396376930878,0.4120419664268585,0.01821956338868494
宁夏,2025,baseline,0.486396376930878,0.39204196642685846,0.01991767513762243
宁夏,2025,clean_plus5pp,0.536396376930878,0.39204196642685846,0.01779521798458593
宁夏,2025,green_plus2pp,0.506396376930878,0.4120419664268585,0.01821956338868494
宁夏,2026,baseline,0.486396376930878,0.39204196642685846,0.01991767513762243
宁夏,2026,clean_plus5pp,0.536396376930878,0.39204196642685846,0.01779521798458593
宁夏,2026,green_plus2pp,0.506396376930878,0.4120419664268585,0.01821956338868494
宁夏,2027,baseline,0.486396376930878,0.39204196642685846,0.01991767513762243
宁夏,2027,clean_plus5pp,0.536396376930878,0.39204196642685846,0.01779521798458593
宁夏,2027,green_plus2pp,0.506396376930878,0.4120419664268585,0.01821956338868494
宁夏,2028,baseline,0.486396376930878,0.39204196642685846,0.01991767513762243
宁夏,2028,clean_plus5pp,0.536396376930878,0.39204196642685846,0.01779521798458593
宁夏,2028,green_plus2pp,0.506396376930878,0.4120419664268585,0.01821956338868494
宁夏,2029,baseline,0.486396376930878,0.39204196642685846,0.01991767513762243
