province,year,energy_index,eco_index,efficiency_index
天津,2011,0.9345360288312305,-0.9779135481661159,-0.07718522876088818
天津,2012,0.8666867828302359,-1.0656996564208414,-0.03935703079415793
天津,2013,0.5467264178780673,-1.0856691935518812,0.04243756137815865
天津,2014,0.6017164591774316,-1.1542454479983828,0.05116290631627913
天津,2015,0.7142096016577117,-0.7512081224039197,0.037907242423506765
天津,2016,0.8472132116994837,-0.8338439542962811,-0.05651705222045413
天津,2017,0.8356610376547247,-1.4536545393121418,-0.10790748743739556
天津,2018,0.7761229565225588,-0.8899123200303115,-0.4246423769636726
天津,2019,0.7702553928852676,-1.3966198756085566,-0.6352007395786787
宁夏,2005,-0.4772465731333816,,
宁夏,2006,-0.09578845847550554,,
宁夏,2007,0.3460254119051539,,
宁夏,2008,-0.10177376107540674,,
宁夏,2009,-0.08185395025833775,,
宁夏,2010,-0.11695763678279915,,
宁夏,2011,-0.20263760515768162,,
宁夏,2012,-0.16629514047384308,,
宁夏,2013,-0.45016951141702266,,
宁夏,2014,-0.6288139764851609,,
宁夏,2015,-0.9002614853305975,,
宁夏,2016,-0.897328043953199,,
宁夏,2017,-1.2885589648311768,,
宁夏,2018,-1.5590394681953514,,
宁夏,2019,-1.5703488138067605,,
安徽,2005,1.2228635740356804,,0.8495232293814134
安徽,2006,-0.9567500127868455,-0.4472632841615308,0.0444843061880212
安徽,2007,-1.080466958226374,0.14599673575331784,-0.1387594191540913
安徽,2008,-0.9802390167767979,-0.06622290567980628,-0.6645314981097278
安徽,2009,-0.8411827385451993,-0.021883320242855362,-0.6003045601033531
安徽,2010,-1.0846135015682412,-0.058918772825881593,-0.7114293886569267
安徽,2011,-1.0141467859770117,0.22404509018948665,-0.5681313527150408
安徽,2012,-0.7704094298303953,-0.0608087811690817,-0.6046628217802347
安徽,2013,-0.7514540143505268,0.18739505779882507,-0.6147168432260288
安徽,2014,-0.6791488126246005,0.4517055949322278,-0.5998593921784611
安徽,2015,-0.7463158720094455,0.4693726350140112,-0.5345913206257044
安徽,2016,-0.6456913793940979,0.5306279709158136,-0.6117446307469036
安徽,2017,-0.49862631520291506,0.5066483247765441,-0.6112022001620763
安徽,2018,-0.4660472810006148,0.5751872312391069,-0.4778164232374855
安徽,2019,-0.44831698649846563,0.5208516367781114,-0.6093356932722334
山东,2005,-0.15166360101734405,,-0.34547980762195546
山东,2006,-0.05140671141236546,0.6196365579763186,-0.9274611130793038
山东,2007,-0.06557871958261818,0.7868221026094905,-0.7191924422702283
山东,2008,-0.14801676431863817,0.8242204722301972,-0.6563105735995203
山东,2009,-0.037986156059208256,0.7861161964164667,-0.45526466797629456
山东,2010,-0.21832454117096028,0.8248628195623472,-0.6138350315721146
山东,2011,-0.22891994153583742,0.7048285455317264,-0.5757207110199465
山东,2012,-0.3002284976279645,0.7894834978901034,-0.4617551316078107
山东,2013,-0.43181888583015854,0.8748497535282094,-0.371804467912955
山东,2014,-0.5598039395769456,0.8595661772638118,-0.5091740895105471
山东,2015,-0.21109541225519046,0.749089058588954,-0.3348342329681716
山东,2016,0.15444051081091928,0.7125575609440931,-0.7570749113427799
山东,2017,0.12578942904797666,0.4703464198860128,-0.4820289332480738
山东,2018,0.23097028160290015,0.3472828565971971,-0.12545967574007752
山东,2019,0.19653012660231425,0.1889815673265724,-0.49341996758837414
山西,2005,-1.6752103915122492,,-2.8715197654689306
山西,2006,-1.456860804746895,-0.599677547324081,-2.8100383494525203
山西,2007,-1.4459019688544523,-0.7511587778453224,-3.1310192767232317
山西,2008,-1.3823236412268767,-0.2536846694503339,-2.7865172976532127
山西,2009,-1.3275098226438453,-0.1632832356582369,-2.675963580482665
山西,2010,-1.2609282618289122,0.051553926222647165,-2.674580378829679
山西,2011,-1.3223475018721995,-0.06442498301586061,-2.5799153669964787
山西,2012,-1.3728983403375965,-0.11234164656660513,-2.409502169876807
山西,2013,-1.475371858362189,0.21285634282584207,-2.492448912613435
山西,2014,-1.4758789201895892,0.17130144457926522,-2.803983472213055
山西,2015,-1.4445527965402765,0.18965621143906977,-3.0245192560875704
山西,2016,-1.5037052921557164,0.16676879085925622,-3.0501456137373584
山西,2017,-1.3696316204712107,-0.07418215347195403,-3.0847131062133255
山西,2018,-1.5200040313968541,0.18449401756726153,-2.660355989444759
山西,2019,-1.5122790075377488,0.373353828132983,-2.170496522955746
广东,2005,1.8816824134509393,,0.756510216852949
广东,2006,1.6673696334377506,0.7285038888067116,0.9453977226668591
广东,2007,1.5684820786267912,0.7611890879352435,0.9796734393453517
广东,2008,1.4861905080712172,0.941384074586777,0.9540636904384214
广东,2009,1.5860367704144833,0.7053162447505343,0.990121748532734
广东,2010,1.3837120682262574,0.7806737399429358,0.9692478042636326
广东,2011,1.207064242400783,0.6086718544632781,0.9354099712124327
广东,2012,1.2340288977336702,0.5575856036012351,0.9533076548766113
广东,2013,1.283513913964338,0.5947756182310534,0.9580336699533584
广东,2014,1.1542797196642853,0.5026881677236757,0.754515978027498
广东,2015,1.1400922835878071,0.5202301665730917,0.7632295165247467
广东,2016,0.4324328406654511,0.7428791592821397,0.5618907271273181
广东,2017,1.1383595368500818,0.9785730883534504,1.005941059673388
广东,2018,1.164603232830279,1.0635537483289137,0.46158875776025277
广东,2019,1.112760242828379,0.7420983497458041,0.42096354178392076
广西,2005,-0.4360925211198988,,
广西,2006,-0.5058810933737313,,
广西,2007,-0.42105215719273337,,
广西,2008,-0.3659005257995822,,
