province,year,clean_ratio,green_rate,emission_per_gdp,Δenergy,Δgreen,Δemission
广东,2009,0.746376790881608,0.408,0.010541119484655899,0.005238132547347063,0.00500000000000006,-0.00043325737348452395
广东,2010,0.745636163038039,0.413,0.010252609982380225,-0.0007406278435689861,0.0050000000000000044,-0.00028850950227567347
广东,2011,0.734080759886774,0.411,0.009642151910999727,-0.01155540315126502,-0.0020000000000000018,-0.0006104580713804982
广东,2012,0.7412221709851661,0.412,0.008748298262428436,0.007141411098392059,0.0010000000000000009,-0.0008938536485712904
广东,2013,0.771406653700082,0.415,0.008134086793988261,0.030184482714915917,0.0030000000000000027,-0.0006142114684401755
广东,2014,0.7607993255151431,0.414,0.00867502628530011,-0.010607328184938924,-0.0010000000000000009,0.0005409394913118495
广东,2015,0.774607600799048,0.414,0.007989023817741431,0.013808275283904936,0.0,-0.0006860024675586791
广东,2016,0.67687930440246,0.424,0.007623197884212103,-0.09772829639658798,0.010000000000000009,-0.00036582593352932867
广东,2017,0.810311269344321,0.435,0.0019306295416526387,0.13343196494186094,0.01100000000000001,-0.005692568342559464
广东,2018,0.828372844514038,0.44,0.006149309767659822,0.01806157516971707,0.0050000000000000044,0.004218680226007184
广东,2019,0.824492681775974,0.433,0.005709979306365396,-0.003880162738064019,-0.007000000000000006,-0.0004393304612944262
广东,2020,0.826879066905744,0.435,0.003850293974871751,0.0023863851297699634,0.0020000000000000018,-0.0018596853314936453
广东,2021,0.86546325297957,0.429,0.002695118112968364,0.03858418607382608,-0.006000000000000005,-0.0011551758619033868
广东,2022,0.860820733904631,0.446,0.002635957632774425,-0.004642519074939067,0.017000000000000015,-5.916048019393924e-05
广西,2005,0.432049703436469,,,,,
广西,2006,0.419193730076152,,,-0.012855973360316963,,
广西,2007,0.45253000178485,,,0.03333627170869796,,
广西,2008,0.460122665094308,,,0.007592663309458014,,
广西,2009,0.4337683710726919,,,-0.026354294021616098,,
广西,2010,0.5009587416932799,,,0.06719037062058802,,
广西,2011,0.5179069799639611,,,0.01694823827068115,,
广西,2012,0.517499346363428,,,-0.00040763360053308606,,
广西,2013,0.516835943945557,,,-0.0006634024178709952,,
广西,2014,0.538136171435459,,,0.021300227489902013,,
广西,2015,0.55925553722843,,,0.021119365792971023,,
广西,2016,0.553411075335667,,,-0.005844461892762998,,
广西,2017,0.576137729966826,,,0.02272665463115897,,
广西,2018,0.59682352965428,,,0.020685799687453987,,
广西,2019,0.612911899084019,,,0.016088369429739013,,
广西,2020,0.572143726781133,,,-0.040768172302885985,,
广西,2021,0.5822941282019001,,,0.010150401420767063,,
广西,2022,0.586520353689046,,,0.004226225487145907,,
新疆,2005,0.644768427887769,,,,,
新疆,2006,0.644422131771316,,,-0.0003462961164529821,,
新疆,2007,0.639079727759413,,,-0.005342404011903001,,
新疆,2008,0.6152240385961729,,,-0.0238556891632401,,
新疆,2009,0.557592490049212,,,-0.05763154854696095,,
新疆,2010,0.579765146013743,,,0.022172655964530996,,
新疆,2011,0.581219647508995,,,0.0014545014952520585,,
新疆,2012,0.579612166833825,,,-0.0016074806751700255,,
新疆,2013,0.667790657317691,,,0.08817849048386606,,
新疆,2014,0.707303043841346,,,0.03951238652365496,,
新疆,2015,0.718088193681832,,,0.010785149840485952,,
新疆,2016,0.696570864029762,,,-0.021517329652069983,,
新疆,2017,0.684642533120037,,,-0.011928330909725005,,
新疆,2018,0.721334467577633,,,0.036691934457596,,
新疆,2019,0.7163712448543831,,,-0.004963222723249894,,
新疆,2020,0.737519562421586,,,0.021148317567202923,,
新疆,2021,0.739628203005714,,,0.002108640584127963,,
新疆,2022,0.750735381393989,,,0.011107178388275019,,
江苏,2005,0.537432036420897,,0.025674403236370526,,,
江苏,2006,0.548836777313155,0.417,0.0231292968108514,0.01140474089225807,,-0.0025451064255191252
江苏,2007,0.5479357280427131,0.428,0.021851945376612312,-0.0009010492704419892,0.01100000000000001,-0.0012773514342390886
江苏,2008,0.54446393674124,0.426,0.018942868223406975,-0.003471791301473015,-0.0020000000000000018,-0.002909077153205337
江苏,2009,0.558437763695798,0.42,0.01837439963698613,0.013973826954557955,-0.006000000000000005,-0.000568468586420845
江苏,2010,0.592475252055433,0.421,0.016969638317571072,0.03403748835963505,0.0010000000000000009,-0.0014047613194150578
江苏,2011,0.579853173294981,0.421,0.016231659018896186,-0.012622078760452071,0.0,-0.0007379792986748866
江苏,2012,0.608116491104732,0.422,0.015100777395350993,0.028263317809751,0.0010000000000000009,-0.0011308816235451932
江苏,2013,0.629735343971222,0.424,0.014771874997243537,0.021618852866490013,0.0020000000000000018,-0.0003289023981074557
江苏,2014,0.6375440912758741,0.426,0.013588045815127237,0.007808747304652086,0.0020000000000000018,-0.0011838291821163003
江苏,2015,0.636768797772383,0.428,0.013271642273122485,-0.0007752935034910369,0.0020000000000000018,-0.00031640354200475167
江苏,2016,0.6512094300654869,0.429,0.011516055890182607,0.014440632293103883,0.0010000000000000009,-0.0017555863829398777
江苏,2017,0.6684393817877581,0.43,0.011023727857802416,0.017229951722271153,0.0010000000000000009,-0.0004923280323801908
江苏,2018,0.6986806368489871,0.431,0.007865287145736049,0.03024125506122899,0.0010000000000000009,-0.003158440712066368
江苏,2019,0.6827143905801509,0.434,0.008129281337138874,-0.015966246268836137,0.0030000000000000027,0.0002639941914028259
江苏,2020,0.701970632566771,0.435,0.007094235088258206,0.019256241986620015,0.0010000000000000009,-0.0010350462488806682
江苏,2021,0.723332114946224,0.437,0.005916857288480196,0.021361482379453012,0.0020000000000000018,-0.0011773777997780106
江苏,2022,0.7261331350172779,0.441,0.005767875350728958,0.0028010200710539834,0.0040000000000000036,-0.00014898193775123806
江西,2005,0.4282077775555539,,0.0175390890616226,,,
江西,2006,0.407975273730615,0.346,0.016290388869655274,-0.020232503824938908,,-0.0012487001919673259
江西,2007,0.3744782027926949,0.391,0.022950812262552352,-0.03349707093792009,0.04500000000000004,0.006660423392897078
江西,2008,0.370850326270986,0.418,0.023142990184244247,-0.0036278765217088726,0.02699999999999997,0.00019217792169189465
江西,2009,0.3561293442354539,0.444,0.022655827955953427,-0.014720982035532126,0.026000000000000023,-0.0004871622282908196
江西,2010,0.445966881554967,0.466,0.02052859415264617,0.0898375373195131,0.02200000000000002,-0.0021272338033072567
